Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,0.5,0.541,0.4901,0.5354,5.354,594145
2019-05-31,0.4874,0.5,0.47,0.48,4.8,31618
2019-05-30,0.51,0.5201,0.495,0.5,5.0,52233
2019-05-29,0.55,0.5527,0.4901,0.496517,4.96517,70763
2019-05-28,0.53,0.53,0.5051,0.5101,5.101,42215
2019-05-24,0.55,0.550388,0.5,0.52,5.2,107848
2019-05-23,0.546,0.5527,0.53,0.5342,5.342,49077
2019-05-22,0.58,0.58,0.53,0.55,5.5,88479
2019-05-21,0.583,0.583,0.55,0.569169,5.69169,111111
2019-05-20,0.62,0.6266,0.57,0.575,5.75,49502
2019-05-17,0.68,0.68,0.58,0.5956,5.956,306395
2019-05-16,0.66,0.68,0.65,0.6589,6.589,191623
